country_code,country_name
ABW,Aruba
ASM,American Samoa
BMU,Bermuda
CHI,Channel Islands
CUW,Curaçao
CYM,Cayman Islands
FRO,Faroe Islands
GIB,Gibraltar
GRL,Greenland
GUM,Guam
HKG,Hong Kong SAR China
IMN,Isle of Man
MAC,Macao SAR China
MAF,Saint Martin (French part)
MNP,Northern Mariana Islands
NCL,New Caledonia
PRI,Puerto Rico
PSE,West Bank and Gaza
PYF,French Polynesia
SOL,Somaliland
SXM,Sint Maarten
TCA,Turks & Caicos Islands
TWN,Taiwan
VGB,British Virgin Islands
VIR,U.S. Virgin Islands
XKX,Kosovo
ZNZ,Zanzibar
